np_id,SMILES,target_id,activity_value
NPC111929,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,NPT109,5.0
NPC111929,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,NPT110,5.0
NPC111929,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,NPT12,2.0
NPC111929,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,NPT43,5.6020599913279625
NPC112009,CC(C)(O)C[C@H]1C=C([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]23C)C(=O)O1,NPT178,4.361727836017593
NPC112206,COc1cc2c(cc1O)-c1cc3ccc(O)c(OC)c3c[n+]1CC2,NPT109,3.3979400086720375
NPC112412,CC(C)=CCC[C@](C)(N)[C@H]1CC=C(C)CC1,NPT178,4.653212513775344
NPC112454,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,NPT178,3.8260748027008264
NPC112789,C/C(=C/Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O)COC(=O)/C=C/c1ccc(O)cc1,NPT30,4.146128035678238
NPC112789,C/C(=C/Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O)COC(=O)/C=C/c1ccc(O)cc1,NPT31,4.5843312243675305
NPC113055,CC1(C)C=Cc2c(ccc3c(=O)c(-c4ccc5c(c4)OCO5)coc23)O1,NPT319,4.0
NPC113089,COc1ccc2c(=O)cc(-c3ccc(OC)c(OC)c3)oc2c1,NPT668,3.0791812460476247
NPC113670,c1ccc(-c2ccccc2)cc1,NPT208,5.204119982655925
NPC113733,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,NPT459,2.3010299956639813
